amount_full_withdrawn,amount_partial_withdrawn,amount_staked,cumulative_amount_full_withdrawn,cumulative_amount_partial_withdrawn,cumulative_amount_staked,cumulative_total_entries,curr_stake,day,entity_category,total_entries
832.0,50.241127078,4448,3099773.4390037996,281066.7468876339,6961760,7312843,3580919.8141085664,2024-06-01,Staking Pools,2283
416.0,38.48300242399999,27116,144191.923254304,16691.028157863,2812684,955386,2651801.048587833,2024-05-31,Liquid Restaking,4679
704.0,148.826843351,0,113721.64765760001,41244.24215482101,107618,648205,-47347.889812421025,2024-05-31,Solo Stakers,4757
16640.0,429.14679820599997,22048,3098941.4390037996,281016.5057605559,6957312,7310560,3577354.0552356443,2024-05-31,Staking Pools,21092
9312.0,610.7628207209998,2752,5575427.443537089,731010.1642014232,8458080,14636819,2151642.392261488,2024-05-31,CEXs,28722
19807.998023374,928.4556556330004,12976,1359264.5146810967,318508.94305578264,4742257,6760192,3064483.542263121,2024-05-31,undefined,33710
4032.0,466.4914758999999,222,2513100.5695407884,625599.3616918207,8716733,18091202,5578033.068767391,2024-05-31,Liquid Staking,25317
3648.0,1104.4621604870003,16872,143775.923254304,16652.545155439,2785568,950707,2625139.531590257,2024-05-30,Liquid Restaking,51825
1728.0,308.2920106389999,27040,1339456.5166577226,317580.48740014964,4729281,6726482,3072243.995942128,2024-05-30,undefined,14909
96.0,86.96666858199998,2848,2509068.5695407884,625132.8702159206,8716511,18065885,5582309.560243291,2024-05-30,Liquid Staking,4137
3872.0,596.8617311460002,4192,3082301.4390037996,280587.3589623499,6935264,7289468,3572375.2020338504,2024-05-30,Staking Pools,27773
96.0,0.6735105469999972,32,113017.64765760001,41095.41531147001,107618,643448,-46495.06296907002,2024-05-30,Solo Stakers,35
1856.0,388.8860330170001,5152,5566115.443537089,730399.4013807022,8455328,14608097,2158813.155082209,2024-05-30,CEXs,18077
2816.0,459.90615540400006,30292,140127.923254304,15548.082994952,2768696,898882,2613019.993750744,2024-05-29,Liquid Restaking,22783
0.0,1.556096921,0,112921.64765760001,41094.74180092301,107586,643413,-46430.38945852302,2024-05-29,Solo Stakers,70
1312.0,495.626179625,4640,5564259.443537089,730010.5153476852,8450176,14590020,2155906.0411152258,2024-05-29,CEXs,22972
704.0,415.865153171,58142,2508972.5695407884,625045.9035473386,8713663,18061748,5579644.526911873,2024-05-29,Liquid Staking,20803
5024.0,698.691000907,13504,3078429.4390037996,279990.4972312039,6931072,7261695,3572652.0637649964,2024-05-29,Staking Pools,32305
31296.0,409.7872613859997,16928,1337728.5166577226,317272.19538951066,4702241,6711573,3047240.2879527668,2024-05-29,undefined,19850
3904.0,158.88604193599997,1281,137311.923254304,15088.176839548,2738404,876099,2586003.8999061477,2024-05-28,Liquid Restaking,7234
480.0,2.9502952460000014,32,112921.64765760001,41093.18570400201,107586,643343,-46428.833361602025,2024-05-28,Solo Stakers,132
33792.0,252.52564802299995,11136,1306432.5166577226,316862.40812812466,4685313,6691723,3062018.0752141527,2024-05-28,undefined,12407
2880.0,671.2565530420002,141808,2508268.5695407884,624630.0383941676,8655521,18040945,5522622.3920650445,2024-05-28,Liquid Staking,35106
7808.0,621.852394405,5504,3073405.4390037996,279291.8062302969,6917568,7229390,3564870.7547659036,2024-05-28,Staking Pools,28827
7392.0,783.0475075410001,5504,5562947.443537089,729514.8891680602,8445536,14567048,2153073.6672948506,2024-05-28,CEXs,35976
3232.0,0.98403338,1664,133407.923254304,14929.290797611999,2737123,868865,2588785.7859480837,2024-05-27,Liquid Restaking,192
4992.0,367.141800525,7424,3065597.4390037996,278669.9538358919,6912064,7200563,3567796.6071603084,2024-05-27,Staking Pools,17062
22304.0,874.7592601390002,8064,5555555.443537089,728731.8416605191,8440032,14531072,2155744.714802392,2024-05-27,CEXs,40442
5343.956511103,361.05695533900007,5120,1272640.5166577226,316609.88248010166,4674177,6679316,3084926.6008621757,2024-05-27,undefined,16736
96.0,3.1038233770000008,0,112441.64765760001,41090.23540875601,107554,643211,-45977.88306635602,2024-05-27,Solo Stakers,152
2911.941478457,901.3803081770004,385,2505388.5695407884,623958.7818411256,8513713,18005839,5384365.648618086,2024-05-27,Liquid Staking,40601
7872.0,2.6780628580000196,4704,130175.92325430401,14928.306764231998,2735459,868673,2590354.769981464,2024-05-26,Liquid Restaking,508
0.0,3.569998873,0,112345.64765760001,41087.13158537901,107554,643059,-45878.77924297902,2024-05-26,Solo Stakers,166
800.0,1059.7202049929997,131,2502476.6280623316,623057.4015329486,8513328,17965238,5387793.970404719,2024-05-26,Liquid Staking,48072
19808.0,637.9428400399995,1216,5533251.443537089,727857.0824003802,8431968,14490630,2170859.474062531,2024-05-26,CEXs,29456
1375.658800099,333.00571799200003,3936,1267296.5601466196,316248.8255247627,4669057,6662580,3085511.6143286177,2024-05-26,undefined,14890
20128.0,467.1322867260002,3136,3060605.4390037996,278302.8120353669,6904640,7183501,3565731.7489608335,2024-05-26,Staking Pools,21885
64.0,0.0,2208,122303.92325430401,14925.628701373998,2730755,868165,2593525.448044322,2024-05-25,Liquid Restaking,71
64.0,10.076953646000003,0,112345.64765760001,41083.56158650601,107554,642893,-45875.20924410602,2024-05-25,Solo Stakers,465
2527.99773584,429.92236399,3296,1265920.9013465205,315915.81980677065,4665121,6647690,3083284.278846709,2024-05-25,undefined,19502
16832.0,832.9509597969995,1920,5513443.443537089,727219.1395603402,8430752,14461174,2190089.416902571,2024-05-25,CEXs,38166
13856.0,329.0521574469999,3040,3040477.4390037996,277835.6797486409,6901504,7161616,3583190.8812475596,2024-05-25,Staking Pools,14925
2816.0,919.7358169850003,188,2501676.6280623316,621997.6813279556,8513197,17917166,5389522.690609712,2024-05-25,Liquid Staking,41653
0.0,0.137996271,2656,122239.92325430401,14925.628701373998,2728547,868094,2591381.448044322,2024-05-24,Liquid Restaking,88
1152.0,604.6152963100001,8800,1263392.9036106805,315485.89744278067,4661825,6628188,3082946.1989465393,2024-05-24,undefined,19397
4768.0,1286.1046062850003,471,2498860.6280623316,621077.9455109705,8513009,17875513,5393070.4264266975,2024-05-24,Liquid Staking,58172
640.0,112.56519443799999,6080,3026621.4390037996,277506.62759119394,6898464,7146691,3594335.9334050063,2024-05-24,Staking Pools,5359
32.0,50.895441061999996,224,112281.64765760001,41073.48463286001,107554,642428,-45801.132290460024,2024-05-24,Solo Stakers,2078
19519.823270397,653.1431143450003,3200,5496611.443537089,726386.1886005432,8428832,14423008,2205834.367862368,2024-05-24,CEXs,30110
0.0,0.0,1728,122239.92325430401,14925.490705102999,2725891,868006,2588725.5860405928,2024-05-23,Liquid Restaking,54
1600.0,80.03432236999998,0,112249.64765760001,41022.58919179801,107330,640350,-45942.236849398025,2024-05-23,Solo Stakers,3627
7520.0,440.309132519,2144,5477091.620266692,725733.0454861982,8425632,14392898,2222807.33424711,2024-05-23,CEXs,20160
10592.0,1581.9763015859996,1945,2494092.6280623316,619791.8409046856,8512538,17817341,5398653.531032982,2024-05-23,Liquid Staking,71730
128.0,228.64267461900005,19168,3025981.4390037996,277394.06239675597,6892384,7141332,3589008.4985994445,2024-05-23,Staking Pools,9667
1023.979469377,283.2540552269999,6220,1262240.9036106805,314881.2821464707,4653025,6608791,3075902.814242849,2024-05-23,undefined,10262
608.0,303.626408144,3200,122239.92325430401,14925.490705102999,2724163,867952,2586997.5860405928,2024-05-22,Liquid Restaking,14409
480.0,92.99112941899998,0,110649.64765760001,40942.554869428015,107330,636723,-44262.20252702803,2024-05-22,Solo Stakers,3018
5342.7035667850005,945.0931629300003,3999,1261216.9241413034,314598.0280912437,4646805,6598529,3070990.047767453,2024-05-22,undefined,36025
3328.0,280.90244729500006,1354,2483500.6280623316,618209.8646030995,8510593,17745611,5408882.507334569,2024-05-22,Liquid Staking,15248
20704.0,451.3431663789999,6048,3025853.4390037996,277165.419722137,6873216,7131665,3570197.1412740634,2024-05-22,Staking Pools,21402
6784.0,532.198853319,1696,5469571.620266692,725292.7363536792,8423488,14372738,2228623.643379629,2024-05-22,CEXs,24725
1888.0,949.5700155389997,1952,121631.92325430401,14621.864296958998,2720963,853543,2584709.212448737,2024-05-21,Liquid Restaking,43475
896.0,373.1974772860001,7168,1255874.2205745184,313652.9349283137,4642806,6562504,3073278.8444971675,2024-05-21,undefined,17306
576.0,463.99644845999984,2240,5462787.620266692,724760.5375003602,8421792,14348013,2234243.842232948,2024-05-21,CEXs,21447
19968.0,621.037195061,17760,3005149.4390037996,276714.07655575796,6867168,7110263,3585304.4844404426,2024-05-21,Staking Pools,29486
0.0,0.777675501,0,110169.64765760001,40849.56374000901,107330,633705,-43689.211397609026,2024-05-21,Solo Stakers,40
2720.0,78.27662562600001,100357,2480172.6280623316,617928.9621558045,8509239,17730363,5411137.409781864,2024-05-21,Liquid Staking,6774
5120.0,431.79428044100007,1312,119743.92325430401,13672.294281419998,2719011,810068,2585594.782464276,2024-05-20,Liquid Restaking,19837
128.0,2.7718811909999967,0,110169.64765760001,40848.786064508015,107330,633665,-43688.43372210803,2024-05-20,Solo Stakers,126
147039.833119583,507.390496117,116100,2477452.6280623316,617850.6855301785,8408882,17723589,5313578.68640749,2024-05-20,Liquid Staking,28608
2624.0,462.703033039,1824,5462211.620266692,724296.5410519001,8419552,14326566,2233043.838681408,2024-05-20,CEXs,21351
22431.903689114,705.3374605500001,3936,2985181.4390037996,276093.039360697,6849408,7080777,3588133.5216355035,2024-05-20,Staking Pools,32708
3392.0,338.562078968,3552,1254978.2205745184,313279.73745102773,4635638,6545198,3067380.0419744537,2024-05-20,undefined,15652
2944.0,72.49615812699999,1312,114623.92325430401,13240.500000978998,2717699,790231,2589834.576744717,2024-05-19,Liquid Restaking,3420
32.0,1.835449773000002,0,110041.64765760001,40846.01418331701,107330,633539,-43557.661840917026,2024-05-19,Solo Stakers,77
2848.0,289.77400319800006,9216,1251586.2205745184,312941.17537205975,4632086,6529546,3067558.6040534214,2024-05-19,undefined,13580
21504.0,867.5226830250001,1696,5459587.620266692,723833.8380188611,8417728,14305215,2234306.541714447,2024-05-19,CEXs,40010
5952.0,487.80207583300006,1024,2962749.5353146857,275387.70190014696,6845472,7048069,3607334.7627851674,2024-05-19,Staking Pools,22494
123231.326308341,728.955285468,16970,2330412.7949427487,617343.2950340615,8292782,17694981,5345025.91002319,2024-05-19,Liquid Staking,35799
64.0,6.011702092000005,4140,111679.92325430401,13168.003842851998,2716387,786811,2591539.072902844,2024-05-18,Liquid Restaking,429
864.0,436.52543272299994,9440,2956797.5353146857,274899.89982431394,6844448,7025575,3612750.5648610005,2024-05-18,Staking Pools,20174
1599.87984051,930.9415089209999,964,2207181.4686344075,616614.3397485935,8275812,17659182,5452016.191616999,2024-05-18,Liquid Staking,42457
1469.894910952,317.71164136600004,2976,1248738.2205745184,312651.4013688617,4622870,6515966,3061480.37805662,2024-05-18,undefined,14750
32.0,3.391689462000003,0,110009.64765760001,40844.17873354401,107330,633462,-43523.82639114402,2024-05-18,Solo Stakers,153
2528.0,798.4564659739997,1696,5438083.620266692,722966.3153358361,8416032,14265205,2254982.064397472,2024-05-18,CEXs,36978
1056.0,4.93626035,6036,111615.92325430401,13161.992140759998,2712247,786382,2587469.0846049357,2024-05-17,Liquid Restaking,599
32.0,4.474887543000002,0,109977.64765760001,40840.78704408201,107330,633309,-43488.434701682025,2024-05-17,Solo Stakers,182
9536.0,756.48016097,2368,5435555.620266692,722167.8588698622,8414336,14228227,2256612.520863446,2024-05-17,CEXs,34840
1184.0,1087.7003214409997,98,2205581.5887938975,615683.3982396725,8274848,17616725,5453583.01296643,2024-05-17,Liquid Staking,49603
6208.0,358.7653846110001,4768,2955933.5353146857,274463.37439159094,6835008,7005401,3604611.090293723,2024-05-17,Staking Pools,16801
