base_fee_burned,date
4191.791310680564,2023-07-06 00:00:00.000 UTC
5249.26484565293,2023-07-05 00:00:00.000 UTC
3060.3433572004024,2023-07-04 00:00:00.000 UTC
2152.5864091135727,2023-07-03 00:00:00.000 UTC
1544.3810044547051,2023-07-02 00:00:00.000 UTC
1808.219959567073,2023-07-01 00:00:00.000 UTC
3082.421232018256,2023-06-30 00:00:00.000 UTC
3394.456648926355,2023-06-29 00:00:00.000 UTC
2042.2757541529636,2023-06-28 00:00:00.000 UTC
1893.130610203689,2023-06-27 00:00:00.000 UTC
1493.4111104456515,2023-06-26 00:00:00.000 UTC
1378.2156342750197,2023-06-25 00:00:00.000 UTC
1559.0729781353364,2023-06-24 00:00:00.000 UTC
1969.3968775225933,2023-06-23 00:00:00.000 UTC
1776.4303915988048,2023-06-22 00:00:00.000 UTC
2222.796289012379,2023-06-21 00:00:00.000 UTC
1977.1477363702825,2023-06-20 00:00:00.000 UTC
1968.0560060851992,2023-06-19 00:00:00.000 UTC
1613.4913772593836,2023-06-18 00:00:00.000 UTC
1845.475172378931,2023-06-17 00:00:00.000 UTC
2108.0442463731724,2023-06-16 00:00:00.000 UTC
2053.892893815756,2023-06-15 00:00:00.000 UTC
2361.88917895645,2023-06-14 00:00:00.000 UTC
1793.8900084548852,2023-06-13 00:00:00.000 UTC
1854.2734229648338,2023-06-12 00:00:00.000 UTC
1827.5977043381283,2023-06-11 00:00:00.000 UTC
2520.4584380595875,2023-06-10 00:00:00.000 UTC
2219.304599828121,2023-06-09 00:00:00.000 UTC
2520.184216026258,2023-06-08 00:00:00.000 UTC
2510.221997659954,2023-06-07 00:00:00.000 UTC
2868.200545756138,2023-06-06 00:00:00.000 UTC
3726.2012227359887,2023-06-05 00:00:00.000 UTC
2334.755473276175,2023-06-04 00:00:00.000 UTC
2549.7800480871074,2023-06-03 00:00:00.000 UTC
3432.641219183481,2023-06-02 00:00:00.000 UTC
4183.78648695224,2023-06-01 00:00:00.000 UTC
4105.907840702202,2023-05-31 00:00:00.000 UTC
4873.827043924442,2023-05-30 00:00:00.000 UTC
3844.3313015623935,2023-05-29 00:00:00.000 UTC
3048.397249427878,2023-05-28 00:00:00.000 UTC
2687.104285688409,2023-05-27 00:00:00.000 UTC
3306.755305532244,2023-05-26 00:00:00.000 UTC
3881.0122205441025,2023-05-25 00:00:00.000 UTC
4580.691531461634,2023-05-24 00:00:00.000 UTC
5562.227960620326,2023-05-23 00:00:00.000 UTC
4880.4451259883435,2023-05-22 00:00:00.000 UTC
3603.318643855299,2023-05-21 00:00:00.000 UTC
3567.1801666087304,2023-05-20 00:00:00.000 UTC
4805.583189613726,2023-05-19 00:00:00.000 UTC
5557.601128801828,2023-05-18 00:00:00.000 UTC
5522.532666938461,2023-05-17 00:00:00.000 UTC
5937.688208616629,2023-05-16 00:00:00.000 UTC
6051.003607020577,2023-05-15 00:00:00.000 UTC
4277.599702056002,2023-05-14 00:00:00.000 UTC
4429.262852157,2023-05-13 00:00:00.000 UTC
6805.994942837008,2023-05-12 00:00:00.000 UTC
10253.462141202397,2023-05-11 00:00:00.000 UTC
9897.717575272954,2023-05-10 00:00:00.000 UTC
9601.021464650408,2023-05-09 00:00:00.000 UTC
11366.777540103176,2023-05-08 00:00:00.000 UTC
11547.65042373951,2023-05-07 00:00:00.000 UTC
14269.992029340434,2023-05-06 00:00:00.000 UTC
14597.008380931135,2023-05-05 00:00:00.000 UTC
8060.4699966772805,2023-05-04 00:00:00.000 UTC
7900.366281912111,2023-05-03 00:00:00.000 UTC
8720.845412843271,2023-05-02 00:00:00.000 UTC
7032.009357346337,2023-05-01 00:00:00.000 UTC
4531.236344968533,2023-04-30 00:00:00.000 UTC
3735.705895331791,2023-04-29 00:00:00.000 UTC
3959.7698692508957,2023-04-28 00:00:00.000 UTC
3856.3104725027006,2023-04-27 00:00:00.000 UTC
4231.653152494004,2023-04-26 00:00:00.000 UTC
4022.016496020436,2023-04-25 00:00:00.000 UTC
4617.854256623953,2023-04-24 00:00:00.000 UTC
4342.412912056877,2023-04-23 00:00:00.000 UTC
3930.3544442626217,2023-04-22 00:00:00.000 UTC
4165.411767884107,2023-04-21 00:00:00.000 UTC
6854.71635131567,2023-04-20 00:00:00.000 UTC
7450.286475579465,2023-04-19 00:00:00.000 UTC
5289.873034318052,2023-04-18 00:00:00.000 UTC
3502.193036253703,2023-04-17 00:00:00.000 UTC
2772.381218746415,2023-04-16 00:00:00.000 UTC
2555.7082286253685,2023-04-15 00:00:00.000 UTC
3101.963249505973,2023-04-14 00:00:00.000 UTC
3104.4545599053627,2023-04-13 00:00:00.000 UTC
2448.8356956296466,2023-04-12 00:00:00.000 UTC
2844.650595813094,2023-04-11 00:00:00.000 UTC
2562.971439046057,2023-04-10 00:00:00.000 UTC
2190.5110798563996,2023-04-09 00:00:00.000 UTC
2232.9499367067165,2023-04-08 00:00:00.000 UTC
2550.318680132655,2023-04-07 00:00:00.000 UTC
3058.2090359890553,2023-04-06 00:00:00.000 UTC
3668.5593343076644,2023-04-05 00:00:00.000 UTC
3136.445308103651,2023-04-04 00:00:00.000 UTC
3014.572194655533,2023-04-03 00:00:00.000 UTC
2140.671439291044,2023-04-02 00:00:00.000 UTC
2266.7465936370113,2023-04-01 00:00:00.000 UTC
2880.821296028238,2023-03-31 00:00:00.000 UTC
